"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Comment"
"R64","TopLayer","52,2961","56,0461","0","150Ohm 0402"
"R63","TopLayer","52,2961","62,3061","180","150Ohm 0402"
"R45","TopLayer","54,5461","70,2961","0","5.6Ohm 0402"
"R44","TopLayer","64,6461","85,3961","270","5.6Ohm 0402"
"R43","TopLayer","65,6461","85,3961","270","5.6Ohm 0402"
"R42","TopLayer","66,6461","85,3961","270","5.6Ohm 0402"
"R41","TopLayer","67,6461","85,3961","270","5.6Ohm 0402"
"R40","TopLayer","68,6461","85,3961","270","5.6Ohm 0402"
"R39","TopLayer","69,6461","85,3961","270","5.6Ohm 0402"
"R38","TopLayer","70,7461","85,3961","270","5.6Ohm 0402"
"C108","TopLayer","54,2461","41,3711","270","100nF"
"C107","TopLayer","63,7211","41,6461","90","100nF"
"C106","TopLayer","52,8461","41,5961","270","2.2uF"
"C105","TopLayer","65,5461","50,0461","270","100nF"
"C104","TopLayer","62,5461","51,2961","270","100nF"
"C103","TopLayer","61,2961","51,2961","270","100nF"
"C95","TopLayer","60,0461","51,2961","270","100nF"
"C94","TopLayer","54,5461","58,5461","0","100nF"
"C93","TopLayer","54,5461","57,2961","0","100nF"
"C92","TopLayer","54,5461","56,0461","0","100nF"
"C91","TopLayer","54,5461","64,8061","0","100nF"
"C82","TopLayer","54,5461","63,5561","0","100nF"
"C81","TopLayer","54,5461","62,3061","0","100nF"
"C80","TopLayer","52,0461","79,5461","180","100pF 0402"
"C79","TopLayer","52,0461","78,5461","180","100pF 0402"
"C78","TopLayer","52,0461","77,5461","180","100pF 0402"
"C77","TopLayer","52,0461","76,5461","180","100pF 0402"
"C76","TopLayer","52,0461","75,5461","180","100pF 0402"
